game_id,season,week,CONSTANT_SCALE_NO_KEY_integer_log_score,CONDITIONAL_SCALE_NO_KEY_integer_log_score,CONSTANT_SCALE_KEY_integer_log_score,FULL_CONDITIONAL_SCALE_KEY_integer_log_score
2022_12_NE_MIN,2022,12,3.5409215267463576,3.541173789780265,2.9656265269244386,2.974188829164749
2022_12_NO_SF,2022,12,3.515805647460163,3.5093207008574976,3.686323620465587,3.662798198276698
2022_12_NYG_DAL,2022,12,3.496942024158061,3.490763853450249,3.664025364695726,3.6349619276407314
2022_12_PIT_IND,2022,12,3.75896850810431,3.757561953349887,3.161947053176254,3.1633690727627046
2022_12_TB_CLE,2022,12,3.730330246035238,3.729804516630007,3.9036340031803456,3.9100650004135575
2022_13_BUF_NE,2022,13,3.820708973979078,3.8208038930945936,3.984021576112495,3.988378064577039
2022_13_CLE_HOU,2022,13,3.572259316655422,3.57179229419045,3.746728517307898,3.7394450990828636
2022_13_DEN_BAL,2022,13,3.7031912642465303,3.696748345484409,3.854994123394107,3.8387783736025964
2022_13_GB_CHI,2022,13,3.5558148684713715,3.557147671112182,3.744259557158977,3.7522687396276724
2022_13_IND_DAL,2022,13,5.1931075993569715,5.2121477981598066,5.19504482706324,5.275018819204015
2022_13_JAX_DET,2022,13,5.33067950321618,5.2979822620568475,5.35505089367373,5.277635091514866
2022_13_KC_CIN,2022,13,3.57225931665542,3.5828163950697474,2.603345868521106,2.6177810628626332
2022_13_LAC_LV,2022,13,3.5409215267463576,3.548326718189414,2.9656265269244386,2.980671828904928
2022_13_MIA_SF,2022,13,3.888340942587633,3.888755737436283,4.042437708382678,4.045097437346285
2022_13_NO_TB,2022,13,3.496942024158061,3.4939569136913553,3.692498767576383,3.6994997254595803
2022_13_NYJ_MIN,2022,13,3.4898622491881337,3.4914397945861175,3.687181951360713,3.70065967544419
2022_13_PIT_ATL,2022,13,3.4898622491881337,3.4927452541097934,2.5309391135570602,2.547121438041219
2022_13_SEA_LA,2022,13,3.505590698138951,3.498269161857713,3.6888882541766725,3.6761580487219754
2022_13_TEN_PHI,2022,13,4.688661485922293,4.6891847375451565,4.764414212230401,4.764231759888766
2022_13_WAS_NYG,2022,13,3.496942024158057,3.4938710520907637,5.3666827383357685,5.37108430481527
2022_14_BAL_PIT,2022,14,3.5158056474601596,3.5099479618094347,3.7127246730536716,3.7251782790200636
2022_14_CAR_SEA,2022,14,3.75896850810431,3.759677849182306,3.928383260374152,3.934333989807967
2022_14_CLE_CIN,2022,14,3.703191264246534,3.705079728176132,3.8755811687570265,3.881020701777637
2022_14_HOU_DAL,2022,14,4.000663681453418,4.001412023925624,4.079355904351413,4.078248035919544
2022_14_JAX_TEN,2022,14,4.361870293155632,4.362632659535699,4.473674435611755,4.4680750144806245
2022_14_KC_DEN,2022,14,3.496942024158057,3.4920919174791143,3.6743550068466813,3.656618324967377
2022_14_LV_LA,2022,14,3.653442610515737,3.6501817080924814,3.8239729933100173,3.818899557846112
2022_14_MIA_LAC,2022,14,3.730330246035238,3.7373595374311104,3.9036340031803456,3.916980485811838
2022_14_MIN_DET,2022,14,3.703191264246534,3.7094976912391013,3.880083810828994,3.894584473783605
2022_14_NE_ARI,2022,14,3.924342157465226,3.924699426698687,4.080143616501738,4.083855967693195
2022_14_NYJ_BUF,2022,14,3.4898622491881337,3.4817220024105273,3.660359931865883,3.631647524876671
2022_14_PHI_NYG,2022,14,4.5195009454422514,4.523305663838618,4.601720470150452,4.616936456360498
2022_14_TB_SF,2022,14,5.261344135601423,5.279238396267713,5.288322526868982,5.285782829167776
2022_15_ARI_DEN,2022,15,3.653442610515737,3.6498298172408803,3.8365953618508817,3.8462638984203434
2022_15_ATL_NO,2022,15,3.4898622491881337,3.488205201166615,2.523215696131123,2.51755022179515
2022_15_BAL_CLE,2022,15,3.653442610515737,3.650901028198245,3.835283996697689,3.8429887729766214
2022_15_CIN_TB,2022,15,3.653442610515739,3.6565334907288656,3.833337796959407,3.8432296096578313
2022_15_DAL_JAX,2022,15,3.7890976749545233,3.791370871771631,3.9543280880465743,3.9603387325121058
2022_15_DET_NYJ,2022,15,3.5558148684713715,3.5583028977830633,2.5892844001980913,2.5987219880876573
2022_15_IND_MIN,2022,15,3.478055441421026,3.482179682132597,2.5166504481636522,2.5231730577947977
2022_15_KC_HOU,2022,15,3.703191264246534,3.6987629262393953,3.8262667406185003,3.7955174238178344
2022_15_LA_GB,2022,15,3.527583777689788,3.5174875381765367,3.7042768388016944,3.684759021746987
2022_15_MIA_BUF,2022,15,3.5275837776897863,3.524253539184038,2.549811530697315,2.5338928403775367
2022_15_NE_LV,2022,15,3.5558148684713715,3.5605181467408635,3.7491329964082585,3.7716426610689098
2022_15_NYG_WAS,2022,15,3.9617866131179746,3.9615747096528335,4.108681094418846,4.110193479909935
2022_15_PHI_CHI,2022,15,3.515805647460163,3.515163186361025,3.6913233474324914,3.6781487409951104
