variant,nu,lambda_scale,lambda_key,inner_seasons,mean_primary_score,score_2019,score_2020,score_2021,outer_season,score_2022,score_2023,score_2024
FULL_CONDITIONAL_SCALE_KEY,6,10.0,10.0,"2020,2021,2022",3.8843674345171286,,3.889012447219617,3.97698537933976,2023,3.7871044769920084,,
FULL_CONDITIONAL_SCALE_KEY,10,1.0,1.0,"2020,2021,2022",3.880041823325838,,3.88451342671052,3.9690534465802148,2023,3.78655859668678,,
FULL_CONDITIONAL_SCALE_KEY,10,1.0,10.0,"2020,2021,2022",3.880576667318476,,3.8858360557136096,3.97021084733157,2023,3.7856830989102495,,
FULL_CONDITIONAL_SCALE_KEY,10,10.0,1.0,"2020,2021,2022",3.8801042078860424,,3.884534518014984,3.9691153724220203,2023,3.786662733221123,,
FULL_CONDITIONAL_SCALE_KEY,10,10.0,10.0,"2020,2021,2022",3.8806403266560925,,3.885859385576724,3.9702734095451535,2023,3.7857881848464006,,
FULL_CONDITIONAL_SCALE_KEY,30,1.0,1.0,"2020,2021,2022",3.879730108221148,,3.8855630744323504,3.9644581329852477,2023,3.789169117245846,,
FULL_CONDITIONAL_SCALE_KEY,30,1.0,10.0,"2020,2021,2022",3.880197317480553,,3.8868297482486343,3.965504255257675,2023,3.788257948935349,,
FULL_CONDITIONAL_SCALE_KEY,30,10.0,1.0,"2020,2021,2022",3.87977692278595,,3.88560397091646,3.964488256625676,2023,3.7892385408157137,,
FULL_CONDITIONAL_SCALE_KEY,30,10.0,10.0,"2020,2021,2022",3.88024540604297,,3.8868709176798673,3.965537919761747,2023,3.7883273806872944,,
FULL_CONDITIONAL_SCALE_KEY,4,1.0,1.0,"2021,2022,2023",3.8987183768862135,,,3.986235854105858,2024,3.793205016837949,3.9167142597148334,
FULL_CONDITIONAL_SCALE_KEY,4,1.0,10.0,"2021,2022,2023",3.900308621492401,,,3.9875293088445773,2024,3.792394989871564,3.9210015657610615,
FULL_CONDITIONAL_SCALE_KEY,4,10.0,1.0,"2021,2022,2023",3.898735882672405,,,3.986306454959659,2024,3.7933324432892497,3.916568749768305,
FULL_CONDITIONAL_SCALE_KEY,4,10.0,10.0,"2021,2022,2023",3.9003245166465033,,,3.987602425019645,2024,3.7925217253907997,3.920849399529065,
FULL_CONDITIONAL_SCALE_KEY,6,1.0,1.0,"2021,2022,2023",3.890832268994941,,,3.975682613555092,2024,3.7878262713403994,3.9089879220893304,
FULL_CONDITIONAL_SCALE_KEY,6,1.0,10.0,"2021,2022,2023",3.892375029644244,,,3.9769126755037196,2024,3.786981720172907,3.913230693256106,
FULL_CONDITIONAL_SCALE_KEY,6,10.0,1.0,"2021,2022,2023",3.890851906587642,,,3.975751738578767,2024,3.787945993808563,3.9088579873755958,
FULL_CONDITIONAL_SCALE_KEY,6,10.0,10.0,"2021,2022,2023",3.8923979915449056,,,3.97698537933976,2024,3.7871044769920084,3.913104118302949,
FULL_CONDITIONAL_SCALE_KEY,10,1.0,1.0,"2021,2022,2023",3.886853422703322,,,3.9690534465802148,2024,3.78655859668678,3.9049482248429723,
FULL_CONDITIONAL_SCALE_KEY,10,1.0,10.0,"2021,2022,2023",3.8883431330827896,,,3.97021084733157,2024,3.7856830989102495,3.9091354530065483,
FULL_CONDITIONAL_SCALE_KEY,10,10.0,1.0,"2021,2022,2023",3.8868758561577184,,,3.9691153724220203,2024,3.786662733221123,3.904849462830011,
FULL_CONDITIONAL_SCALE_KEY,10,10.0,10.0,"2021,2022,2023",3.888366070153413,,,3.9702734095451535,2024,3.7857881848464006,3.909036616068685,
FULL_CONDITIONAL_SCALE_KEY,30,1.0,1.0,"2021,2022,2023",3.8857843270744232,,,3.9644581329852477,2024,3.789169117245846,3.9037257309921745,
FULL_CONDITIONAL_SCALE_KEY,30,1.0,10.0,"2021,2022,2023",3.8871971692025196,,,3.965504255257675,2024,3.788257948935349,3.9078293034145353,
FULL_CONDITIONAL_SCALE_KEY,30,10.0,1.0,"2021,2022,2023",3.8858000924599883,,,3.964488256625676,2024,3.7892385408157137,3.9036734799385755,
FULL_CONDITIONAL_SCALE_KEY,30,10.0,10.0,"2021,2022,2023",3.8872132794372,,,3.965537919761747,2024,3.7883273806872944,3.90777453786256,
FULL_CONDITIONAL_SCALE_KEY,4,1.0,1.0,"2022,2023,2024",3.8697152752095523,,,,2025,3.793205016837949,3.9167142597148334,3.899226549075874
FULL_CONDITIONAL_SCALE_KEY,4,1.0,10.0,"2022,2023,2024",3.8720811889432487,,,,2025,3.792394989871564,3.9210015657610615,3.9028470111971205
