game_id,season,week,gameday,home_team,away_team,home_score,away_score,actual_margin,actual_total,rest_diff,market_margin,market_total,market_horizon_label,a0_expected_margin,a0_expected_total,offense_strength_diff,defense_strength_diff,summed_offense_strength,summed_defense_strength,m0_margin,m1_margin_residual,m1_margin,m2_margin_residual,m2_margin,predicted_margin_residual,hybrid_margin,m3_margin,m0_total,m1_total_residual,m1_total,m2_total_residual,m2_total,predicted_total_residual,hybrid_total,m3_total,expected_margin,expected_total,expected_home_points,expected_away_points,candidate_id,outer_target_season,train_through_season,training_through_boundary,selected_margin_alpha_m1,selected_margin_alpha_m2,selected_margin_alpha_m3,selected_total_alpha_m1,selected_total_alpha_m2,selected_total_alpha_m3,source_contract_version,code_sha,config_sha,fallback_state
2022_14_CAR_SEA,2022,14,2022-12-11,SEA,CAR,24.0,30.0,-6.0,54.0,-7.0,3.5,44.5,historical_closing_late_benchmark_exact_horizon_opaque,6.6031630086877975,43.53039833111167,0.4391676087948134,0.25317802060783057,0.01043534826197598,-0.2222511120702158,3.5,-0.4610882743552317,3.0389117256447684,0.8342906765855442,4.334290676585544,0.840994080436962,4.340994080436962,4.340994080436962,44.5,0.2095446633232918,44.70954466332329,-0.5398919151411992,43.9601080848588,-0.5482993355806792,43.95170066441932,43.95170066441932,4.340994080436962,43.95170066441932,24.146347372428142,19.805353291991178,C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,2022,2021,2021-REG-END,100.0,100.0,100.0,100.0,100.0,100.0,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE
2022_14_CLE_CIN,2022,14,2022-12-11,CIN,CLE,23.0,10.0,13.0,33.0,0.0,4.5,47.0,historical_closing_late_benchmark_exact_horizon_opaque,6.184359542991984,47.98648440352501,0.4697393355530803,-0.12272304529905834,-0.04659956873042864,0.20626776564009638,4.5,-0.44562928057978596,4.054370719420214,-0.2521505358527534,4.247849464147246,-0.24597054808121335,4.254029451918787,4.254029451918787,47.0,0.18107035615594275,47.18107035615594,0.1176912641643488,47.11769126416435,0.12246750256358105,47.12246750256358,47.12246750256358,4.254029451918787,47.12246750256358,25.688248477241185,21.434219025322395,C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,2022,2021,2021-REG-END,100.0,100.0,100.0,100.0,100.0,100.0,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE
2022_14_HOU_DAL,2022,14,2022-12-11,DAL,HOU,27.0,23.0,4.0,50.0,0.0,17.0,44.5,historical_closing_late_benchmark_exact_horizon_opaque,13.426969381714953,41.493641399615775,0.6213335760994555,0.14689450154495506,0.4770665571898548,-0.009935031667789446,17.0,-0.252391858386714,16.747608141613284,-0.023227023739953667,16.976772976260047,-0.0010381284886966657,16.998961871511302,16.998961871511302,44.5,0.2095446633232918,44.70954466332329,0.34760167998931213,44.84760167998931,0.3372669977820576,44.83726699778206,44.83726699778206,16.998961871511302,44.83726699778206,30.918114434646682,13.919152563135379,C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,2022,2021,2021-REG-END,100.0,100.0,100.0,100.0,100.0,100.0,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE
2022_14_JAX_TEN,2022,14,2022-12-11,TEN,JAX,22.0,36.0,-14.0,58.0,0.0,3.0,42.0,historical_closing_late_benchmark_exact_horizon_opaque,4.6119396742213326,44.14048098752437,0.2083288323311623,0.2985197016229873,-0.28561605763204956,0.06258838285036798,3.0,-0.4688177712429546,2.5311822287570456,-0.35873723940222135,2.6412627605977788,-0.35558179965305786,2.644418200346942,2.644418200346942,42.0,0.23801897049064089,42.23801897049064,0.14025215578648892,42.14025215578649,0.1287649718178832,42.12876497181788,42.12876497181788,2.644418200346942,42.12876497181788,22.38659158608241,19.74217338573547,C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,2022,2021,2021-REG-END,100.0,100.0,100.0,100.0,100.0,100.0,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE
2022_14_KC_DEN,2022,14,2022-12-11,DEN,KC,28.0,34.0,-6.0,62.0,0.0,-8.5,44.5,historical_closing_late_benchmark_exact_horizon_opaque,-6.811387097347215,47.948273827526386,-0.29794895775149505,-0.029471474113372947,-0.08626871119748476,0.4176994468244102,-8.5,-0.6465961996605807,-9.14659619966058,-0.8679954788077456,-9.367995478807746,-0.8840140403674663,-9.384014040367466,-9.384014040367466,44.5,0.2095446633232918,44.70954466332329,-0.04632171546748143,44.45367828453252,-0.04766590513459193,44.45233409486541,44.45233409486541,-9.384014040367466,44.45233409486541,17.53416002724897,26.918174067616437,C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,2022,2021,2021-REG-END,100.0,100.0,100.0,100.0,100.0,100.0,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE
2022_14_LV_LA,2022,14,2022-12-08,LA,LV,17.0,16.0,1.0,33.0,0.0,-6.5,42.5,historical_closing_late_benchmark_exact_horizon_opaque,0.4739096173685162,44.3646362610919,0.1827385705501863,0.16294774699947379,-0.07030362264487264,0.0021279964065809703,-6.5,-0.6156782121096892,-7.115678212109689,-0.4503372087706332,-6.950337208770633,-0.45812492102800056,-6.958124921028,-6.958124921028,42.5,0.23232410905717105,42.732324109057174,0.09965281837103954,42.59965281837104,0.08888950342107918,42.58888950342108,42.58888950342108,-6.958124921028,42.58888950342108,17.81538229119654,24.77350721222454,C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,2022,2021,2021-REG-END,100.0,100.0,100.0,100.0,100.0,100.0,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE
2022_14_MIA_LAC,2022,14,2022-12-11,LAC,MIA,23.0,17.0,6.0,40.0,0.0,-3.0,54.5,historical_closing_late_benchmark_exact_horizon_opaque,0.2950080702024849,46.317122129207114,0.32412577952281746,-0.4075027399357109,0.31885135636401,-0.22395002024647565,-3.0,-0.5615717338956291,-3.561571733895629,-0.4779243532276317,-3.477924353227632,-0.4827610928839192,-3.482761092883919,-3.482761092883919,54.5,0.09564743465389555,54.5956474346539,0.7026599700475876,55.202659970047584,0.7234273719704307,55.22342737197043,55.22342737197043,-3.482761092883919,55.22342737197043,25.870333139543256,29.353094232427175,C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,2022,2021,2021-REG-END,100.0,100.0,100.0,100.0,100.0,100.0,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE
2022_14_MIN_DET,2022,14,2022-12-11,DET,MIN,34.0,23.0,11.0,57.0,0.0,2.5,51.5,historical_closing_late_benchmark_exact_horizon_opaque,3.8391024250281873,47.65033479656164,0.045302665509615606,-0.12161919365791932,0.17658263708262079,-0.3444915702606821,2.5,-0.47654726813067744,2.0234527318693227,-0.38097093833174966,2.1190290616682503,-0.3778095507401195,2.1221904492598807,2.1221904492598807,51.5,0.12981660325471445,51.62981660325472,0.40356242240888096,51.90356242240888,0.4182140705726529,51.91821407057265,51.91821407057265,2.1221904492598807,51.91821407057265,27.020202259916267,24.898011810656385,C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,2022,2021,2021-REG-END,100.0,100.0,100.0,100.0,100.0,100.0,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE
2022_14_NE_ARI,2022,14,2022-12-12,ARI,NE,13.0,27.0,-14.0,40.0,4.0,-2.0,44.0,historical_closing_late_benchmark_exact_horizon_opaque,0.40049495736103324,42.91481593619682,-0.26120032521276554,-0.2731326386368277,0.2789419694062039,-0.02098866054122503,-2.0,-0.5461127401201833,-2.5461127401201833,-1.132147228829703,-3.132147228829703,-1.1357639031204338,-3.135763903120434,-3.135763903120434,44.0,0.2152395247567616,44.21523952475676,0.7157640162835756,44.71576401628358,0.7070383115180923,44.70703831151809,44.70703831151809,-3.135763903120434,44.70703831151809,20.785637204198828,23.921401107319262,C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,2022,2021,2021-REG-END,100.0,100.0,100.0,100.0,100.0,100.0,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE
2022_14_NYJ_BUF,2022,14,2022-12-11,BUF,NYJ,20.0,12.0,8.0,32.0,3.0,10.0,43.5,historical_closing_late_benchmark_exact_horizon_opaque,10.56855826762536,45.73296177147233,0.092708966305395,0.4205465056927682,0.07179796719376517,0.021313106086664035,10.0,-0.3606048148148343,9.639395185185165,-0.5814447054907547,9.418555294509245,-0.5671479744946872,9.432852025505312,9.432852025505312,43.5,0.22093438619023142,43.72093438619023,0.37483906412889684,43.8748390641289,0.36821860185490496,43.868218601854906,43.868218601854906,9.432852025505312,43.868218601854906,26.65053531368011,17.217683288174797,C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,2022,2021,2021-REG-END,100.0,100.0,100.0,100.0,100.0,100.0,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE
2022_14_PHI_NYG,2022,14,2022-12-11,NYG,PHI,22.0,48.0,-26.0,70.0,0.0,-7.5,44.5,historical_closing_late_benchmark_exact_horizon_opaque,-3.8683420309871117,44.71782093631488,-0.6419661489816048,0.06047043861452468,-0.25877898870574956,-0.167649347724736,-7.5,-0.631137205885135,-8.131137205885135,-0.727634312507875,-8.227634312507876,-0.7388647884573205,-8.23886478845732,-8.23886478845732,44.5,0.2095446633232918,44.70954466332329,0.26104789094683584,44.761047890946834,0.2562462668969371,44.75624626689694,44.75624626689694,-8.23886478845732,44.75624626689694,18.25869073921981,26.49755552767713,C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,2022,2021,2021-REG-END,100.0,100.0,100.0,100.0,100.0,100.0,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE
2022_14_TB_SF,2022,14,2022-12-11,SF,TB,35.0,7.0,28.0,42.0,1.0,3.5,38.0,historical_closing_late_benchmark_exact_horizon_opaque,4.6551223352712086,47.2806819673653,-0.2049391096387695,0.04356629009475321,0.23032624155471942,0.2563791988085937,3.5,-0.4610882743552317,3.0389117256447684,-0.5211293940585557,2.9788706059414443,-0.5162340994160004,2.9837659005839994,2.9837659005839994,38.0,0.2835778619583994,38.2835778619584,-0.43303389371059575,37.56696610628941,-0.452997340121425,37.54700265987857,37.54700265987857,2.9837659005839994,37.54700265987857,20.265384280231284,17.281618379647288,C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,2022,2021,2021-REG-END,100.0,100.0,100.0,100.0,100.0,100.0,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE
2022_15_ARI_DEN,2022,15,2022-12-18,DEN,ARI,24.0,15.0,9.0,39.0,1.0,1.5,37.5,historical_closing_late_benchmark_exact_horizon_opaque,1.84397780875398,40.0344245325026,-0.2009796565712091,0.341174635944545,-0.1832380123777707,0.04705333676649223,1.5,-0.49200626190612323,1.0079937380938768,-0.6751669467229896,0.8248330532770104,-0.6754991464614469,0.8245008535385531,0.8245008535385531,37.5,0.28927272339186916,37.78927272339187,0.2538009261846714,37.753800926184674,0.22630947137755614,37.726309471377554,37.726309471377554,0.8245008535385531,37.726309471377554,19.275405162458053,18.4509043089195,C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,2022,2021,2021-REG-END,100.0,100.0,100.0,100.0,100.0,100.0,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE
2022_15_ATL_NO,2022,15,2022-12-18,NO,ATL,21.0,18.0,3.0,39.0,-1.0,5.0,43.5,historical_closing_late_benchmark_exact_horizon_opaque,3.6513626727888173,43.63858271158013,0.01581395495775703,0.3256279193631918,-0.26944655461797906,-0.009552815604389003,5.0,-0.43789978369206306,4.562100216307937,-0.30605489228684435,4.693945107713156,-0.3020234826794885,4.6979765173205115,4.6979765173205115,43.5,0.22093438619023142,43.72093438619023,0.16825448138254268,43.66825448138254,0.15980042073719658,43.6598004207372,43.6598004207372,4.6979765173205115,43.6598004207372,24.178888469028855,19.480911951708343,C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,2022,2021,2021-REG-END,100.0,100.0,100.0,100.0,100.0,100.0,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE
2022_15_BAL_CLE,2022,15,2022-12-17,CLE,BAL,13.0,3.0,10.0,16.0,0.0,2.5,39.5,historical_closing_late_benchmark_exact_horizon_opaque,0.7534721559069197,44.24775219698908,-0.04412772276696186,0.21745406741718087,-0.47221118151654706,0.11153674352197385,2.5,-0.47654726813067744,2.0234527318693227,-0.5899026262303686,1.9100973737696314,-0.5907722512587662,1.909227748741234,1.909227748741234,39.5,0.2664932776579899,39.76649327765799,-0.0016108644227841584,39.49838913557721,-0.01878926911203871,39.48121073088796,39.48121073088796,1.909227748741234,39.48121073088796,20.695219239814598,18.78599149107336,C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,2022,2021,2021-REG-END,100.0,100.0,100.0,100.0,100.0,100.0,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE
2022_15_CIN_TB,2022,15,2022-12-18,TB,CIN,23.0,34.0,-11.0,57.0,0.0,-3.5,47.0,historical_closing_late_benchmark_exact_horizon_opaque,0.2175672873130381,49.09959803160186,0.006062792185418636,0.06463409418640123,0.42920255900807025,0.14817881452743928,-3.5,-0.5693012307833519,-4.069301230783352,-0.5159177779501344,-4.0159177779501345,-0.5213197292153572,-4.0213197292153575,-4.0213197292153575,47.0,0.18107035615594275,47.18107035615594,-0.1038530527309161,46.89614694726908,-0.09962100504152355,46.90037899495848,46.90037899495848,-4.0213197292153575,46.90037899495848,21.43952963287156,25.46084936208692,C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,2022,2021,2021-REG-END,100.0,100.0,100.0,100.0,100.0,100.0,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE
2022_15_DAL_JAX,2022,15,2022-12-18,JAX,DAL,40.0,34.0,6.0,74.0,0.0,-4.0,48.5,historical_closing_late_benchmark_exact_horizon_opaque,-3.963476707494305,47.24495767335402,-0.7961725116262611,-0.1864453943248925,0.3022276216630492,-0.049485924447726856,-4.0,-0.5770307276710749,-4.577030727671075,-0.7820165743758756,-4.782016574375875,-0.7900954248367682,-4.790095424836768,-4.790095424836768,48.5,0.1639857718555333,48.663985771855536,0.1930400373861346,48.69304003738613,0.19945493671180634,48.69945493671181,48.69945493671181,-4.790095424836768,48.69945493671181,21.95467975593752,26.74477518077429,C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,2022,2021,2021-REG-END,100.0,100.0,100.0,100.0,100.0,100.0,phase3-feature-provenance-v1,5f148219527b07d85261d3f196ace97a5eb5646271d43596032a692389abc579,2c5cc1af74fc5f3955e44361b82b791710e4b63bbc69b0c15570617e2d86e543,NONE
