sample,arm,bin,lower,upper,games,mean_probability,home_win_rate
2025_non_pristine,RAW_B0,4,0.4,0.5,64,0.45235390625000005,0.359375
2025_non_pristine,RAW_B0,5,0.5,0.6000000000000001,99,0.5508348484848484,0.5252525252525253
2025_non_pristine,RAW_B0,6,0.6000000000000001,0.7000000000000001,63,0.6421642857142857,0.7301587301587301
2025_non_pristine,RAW_B0,7,0.7000000000000001,0.8,11,0.7306272727272727,0.9090909090909091
2025_non_pristine,RAW_B0,8,0.8,0.9,1,0.8570000000000001,1.0
2025_non_pristine,RAW_B0,9,0.9,1.0,0,,
2025_non_pristine,MARKET_BENCHMARK,0,0.0,0.1,0,,
2025_non_pristine,MARKET_BENCHMARK,1,0.1,0.2,9,0.16679338308198147,0.1111111111111111
2025_non_pristine,MARKET_BENCHMARK,2,0.2,0.30000000000000004,26,0.24749737658290955,0.23076923076923078
2025_non_pristine,MARKET_BENCHMARK,3,0.30000000000000004,0.4,33,0.34640518933689335,0.45454545454545453
2025_non_pristine,MARKET_BENCHMARK,4,0.4,0.5,46,0.4415595312054113,0.41304347826086957
2025_non_pristine,MARKET_BENCHMARK,5,0.5,0.6000000000000001,44,0.5546749065405401,0.5681818181818182
2025_non_pristine,MARKET_BENCHMARK,6,0.6000000000000001,0.7000000000000001,45,0.6447893585298841,0.5333333333333333
2025_non_pristine,MARKET_BENCHMARK,7,0.7000000000000001,0.8,40,0.7491999813136737,0.725
2025_non_pristine,MARKET_BENCHMARK,8,0.8,0.9,26,0.857369693018931,0.9230769230769231
2025_non_pristine,MARKET_BENCHMARK,9,0.9,1.0,3,0.9053888284179061,1.0
