sample,arm,bin,lower,upper,games,mean_probability,home_win_rate
2022_2024,MARKET_AWARE_DIAGNOSTIC,3,0.30000000000000004,0.4,135,0.3562331912423069,0.3037037037037037
2022_2024,MARKET_AWARE_DIAGNOSTIC,4,0.4,0.5,108,0.4459737869233635,0.42592592592592593
2022_2024,MARKET_AWARE_DIAGNOSTIC,5,0.5,0.6000000000000001,189,0.5553524628476366,0.6455026455026455
2022_2024,MARKET_AWARE_DIAGNOSTIC,6,0.6000000000000001,0.7000000000000001,136,0.6461046675029297,0.6764705882352942
2022_2024,MARKET_AWARE_DIAGNOSTIC,7,0.7000000000000001,0.8,109,0.7457199703906775,0.7706422018348624
2022_2024,MARKET_AWARE_DIAGNOSTIC,8,0.8,0.9,40,0.8524199092629976,0.875
2022_2024,MARKET_AWARE_DIAGNOSTIC,9,0.9,1.0,2,0.9271013561357853,1.0
2025_non_pristine,MARKET_AWARE_DIAGNOSTIC,0,0.0,0.1,1,0.08403545117998704,0.0
2025_non_pristine,MARKET_AWARE_DIAGNOSTIC,1,0.1,0.2,19,0.16764837382807013,0.15789473684210525
2025_non_pristine,MARKET_AWARE_DIAGNOSTIC,2,0.2,0.30000000000000004,28,0.2592859861262981,0.2857142857142857
2025_non_pristine,MARKET_AWARE_DIAGNOSTIC,3,0.30000000000000004,0.4,36,0.3555367632127557,0.4166666666666667
2025_non_pristine,MARKET_AWARE_DIAGNOSTIC,4,0.4,0.5,37,0.4471340842777358,0.4864864864864865
2025_non_pristine,MARKET_AWARE_DIAGNOSTIC,5,0.5,0.6000000000000001,44,0.5593334519463095,0.5227272727272727
2025_non_pristine,MARKET_AWARE_DIAGNOSTIC,6,0.6000000000000001,0.7000000000000001,41,0.6484039072066883,0.6097560975609756
2025_non_pristine,MARKET_AWARE_DIAGNOSTIC,7,0.7000000000000001,0.8,34,0.750722826660172,0.7058823529411765
2025_non_pristine,MARKET_AWARE_DIAGNOSTIC,8,0.8,0.9,27,0.8600770777725761,0.9259259259259259
2025_non_pristine,MARKET_AWARE_DIAGNOSTIC,9,0.9,1.0,5,0.9144174266660133,1.0
2025_non_pristine,FST,0,0.0,0.1,1,0.08420593220471093,0.0
2025_non_pristine,FST,1,0.1,0.2,18,0.1660165613048951,0.16666666666666666
2025_non_pristine,FST,2,0.2,0.30000000000000004,29,0.25741588672809346,0.27586206896551724
2025_non_pristine,FST,3,0.30000000000000004,0.4,36,0.35569636176248476,0.4166666666666667
2025_non_pristine,FST,4,0.4,0.5,37,0.4472594326835706,0.4864864864864865
2025_non_pristine,FST,5,0.5,0.6000000000000001,44,0.5593927585477375,0.5227272727272727
2025_non_pristine,FST,6,0.6000000000000001,0.7000000000000001,41,0.6484595663293463,0.6097560975609756
2025_non_pristine,FST,7,0.7000000000000001,0.8,34,0.75075320084336,0.7058823529411765
2025_non_pristine,FST,8,0.8,0.9,27,0.8600863173096432,0.9259259259259259
2025_non_pristine,FST,9,0.9,1.0,5,0.9144139473926159,1.0
2025_non_pristine,RAW_A0,0,0.0,0.1,0,,
2025_non_pristine,RAW_A0,1,0.1,0.2,0,,
2025_non_pristine,RAW_A0,2,0.2,0.30000000000000004,5,0.25445988192151264,0.2
2025_non_pristine,RAW_A0,3,0.30000000000000004,0.4,25,0.36756475808273903,0.48
2025_non_pristine,RAW_A0,4,0.4,0.5,59,0.4550301502697673,0.4576271186440678
2025_non_pristine,RAW_A0,5,0.5,0.6000000000000001,80,0.5487663058590766,0.425
2025_non_pristine,RAW_A0,6,0.6000000000000001,0.7000000000000001,64,0.6376035257914752,0.625
2025_non_pristine,RAW_A0,7,0.7000000000000001,0.8,33,0.7328546083567932,0.8181818181818182
2025_non_pristine,RAW_A0,8,0.8,0.9,6,0.8305133319335164,0.8333333333333334
2025_non_pristine,RAW_A0,9,0.9,1.0,0,,
2025_non_pristine,RAW_B0,0,0.0,0.1,0,,
2025_non_pristine,RAW_B0,1,0.1,0.2,0,,
2025_non_pristine,RAW_B0,2,0.2,0.30000000000000004,4,0.2578625,0.25
2025_non_pristine,RAW_B0,3,0.30000000000000004,0.4,30,0.36878666666666676,0.43333333333333335
