game_id,season,week,home_team,away_team,home_win,fst_prob,market_prob,a0_home_win_probability,b0_home_win_probability,fst_confidence,component_prob_dispersion,fst_plus_a0_prob,fst_plus_b0_prob,fst_plus_a0_plus_b0_prob,primary_compact_football_prob,market_aware_diagnostic_prob
2025_10_ATL_IND,2025,10,IND,ATL,1,0.7242727433729711,0.7257525083612038,0.661127232942998,0.5948,0.2242727433729711,0.052862345970832364,0.724286572019399,0.7243147685337612,0.724328467767656,0.7243244994677982,0.7242587099011142
2025_10_BAL_MIN,2025,10,MIN,BAL,0,0.2894066612675557,0.3309929789368104,0.3922366282953765,0.43205,0.2105933387324443,0.06009827948191016,0.2893248496437404,0.289360656778452,0.2892790796195407,0.2892898828473088,0.2892586069630036
2025_10_BUF_MIA,2025,10,MIA,BUF,1,0.1811681705455369,0.2132564841498559,0.4159096604421483,0.3733,0.3188318294544631,0.10210767200003194,0.18106737708940948,0.18111343151237239,0.18101291298296132,0.1809757674975051,0.18096825424140298
2025_10_CLE_NYJ,2025,10,NYJ,CLE,1,0.4163027137667244,0.4572564612326043,0.7191706784737164,0.6129,0.0836972862332756,0.1254648928776972,0.4161988793567507,0.41629673488798385,0.4161928934697863,0.4160913746431582,0.4160096544390649
2025_10_DET_WAS,2025,10,WAS,DET,0,0.17498571901189908,0.2132564841498559,0.4308001390440601,0.4355,0.3250142809881009,0.12171496611534821,0.17491780016513583,0.17494040113102674,0.1748727637708828,0.17482912986671084,0.17480251791225648
2025_10_JAX_HOU,2025,10,HOU,JAX,1,0.45772164440032453,0.4891657638136511,0.5660394887827455,0.5827500000000001,0.042278355599675466,0.05542170282956275,0.45762081766853135,0.4577187101831718,0.4576178923094606,0.45763501961152414,0.45758796980762323
2025_10_LA_SF,2025,10,SF,LA,0,0.27348010118507937,0.3092071169459318,0.5255066414380539,0.4546,0.22651989881492063,0.10611814513321986,0.27341329201991155,0.2734369706290465,0.2733704024597549,0.27331333331818103,0.2732527585854137
2025_10_LV_DEN,2025,10,DEN,LV,1,0.8046236091528124,0.7999999999999999,0.7123549593048817,0.62995,0.3046236091528124,0.07134809099468192,0.8046075008248483,0.804666666252932,0.8046503065269623,0.8046280273359783,0.8045834497403355
2025_10_NE_TB,2025,10,TB,NE,0,0.5547709450079041,0.5720596355604638,0.6585520054454947,0.53,0.05477094500790414,0.055687347781254934,0.5546966200128688,0.554777422433637,0.5547029689731203,0.5546836724783705,0.5546843124544636
2025_10_NO_CAR,2025,10,CAR,NO,0,0.6728264241360734,0.6805555555555554,0.6151530194915744,0.5041,0.1728264241360734,0.07002190208406245,0.6728937930755265,0.6728379781888306,0.6729052029900436,0.672874113198595,0.6728307979891455
2025_10_NYG_CHI,2025,10,CHI,NYG,1,0.645298160868771,0.6574752261956052,0.6048098843316292,0.61505,0.145298160868771,0.017188858606643796,0.6452361438753025,0.6453292599920408,0.6452671315339626,0.6453232431932157,0.6452866204465281
2025_10_PHI_GB,2025,10,GB,PHI,0,0.47314188480935876,0.5,0.5604057588104614,0.559,0.02685811519064124,0.040809279728462274,0.47307613807338317,0.4731419142907501,0.4730762667431894,0.4731076706871893,0.4729754165598684
2025_10_PIT_LAC,2025,10,LAC,PIT,1,0.5767901573866746,0.593369754159424,0.6044880441967568,0.57765,0.0767901573866746,0.012859034348447143,0.5767452359661515,0.5768041568492464,0.5767591458125784,0.5768168999045058,0.5767594440938196
2025_11_BAL_CLE,2025,11,CLE,BAL,0,0.18944838530671176,0.2180936995153472,0.2450358610992971,0.2467,0.31055161469328824,0.026605104372951587,0.18939792464244504,0.18937487906161019,0.18932470927994716,0.18935144421474479,0.1893724352199597
2025_11_CAR_ATL,2025,11,ATL,CAR,0,0.6604948178339286,0.6574752261956052,0.6107023891517025,0.561,0.1604948178339286,0.04061859483491721,0.6604377333804824,0.6605206452372974,0.6604634513777898,0.6604784052946232,0.6604095438318872
