candidate_id,dimension,bucket,games,margin_mae,margin_bias,total_mae,total_bias
A0-DYNAMIC-OPPONENT-ADJUSTED-JOINT-SCORE-V1,market_total,<42,68,11.307465269924961,1.2561274083092124,10.190925337772402,-3.2213922572077296
A0-DYNAMIC-OPPONENT-ADJUSTED-JOINT-SCORE-V1,market_total,42-45,81,9.983965029796787,0.07004364583969612,11.54719017699316,-3.2007273113403327
A0-DYNAMIC-OPPONENT-ADJUSTED-JOINT-SCORE-V1,market_total,45-48,60,9.536626977289398,-0.04666030465858603,10.852744347932354,-2.9242156012105647
A0-DYNAMIC-OPPONENT-ADJUSTED-JOINT-SCORE-V1,market_total,48+,63,11.18621613878586,-1.0116070330280345,9.968066676571446,1.1401157411766274
A0-DYNAMIC-OPPONENT-ADJUSTED-JOINT-SCORE-V1,home_away,home_oriented_prediction,272,10.494625151284229,0.09029168278588393,10.689184517665115,-2.1394824635558782
A0-DYNAMIC-OPPONENT-ADJUSTED-JOINT-SCORE-V1,realized_blowout,abs_margin_ge_14,96,19.294370812440032,2.710633198474635,10.356828972141464,-1.893799314802867
A0-DYNAMIC-OPPONENT-ADJUSTED-JOINT-SCORE-V1,realized_blowout,abs_margin_ge_21,49,23.543629714435628,6.063396320748485,9.912952244305314,-1.0708984799090335
A0-DYNAMIC-OPPONENT-ADJUSTED-JOINT-SCORE-V1,realized_blowout,abs_margin_ge_28,20,27.58668823433386,9.714338491730436,9.474943873730634,0.7993196026075033
B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,season,2025,272,10.304718382352942,0.5209852941176469,11.810169852941176,-5.493052205882353
B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,season_segment,weeks_1_4,64,9.222793750000001,2.9868312500000003,12.133099999999999,-4.833437499999999
B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,season_segment,weeks_5_9,71,11.200014084507043,-0.45867323943662,11.037585915492954,-4.518884507042253
B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,season_segment,weeks_10_14,73,9.535426027397259,-0.8537164383561647,11.337472602739725,-6.539080821917808
B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,season_segment,weeks_15_plus,64,11.270898437500001,0.7099671875,12.8834953125,-6.0402578125
B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,favorite_size_abs,0-3,70,9.229744285714284,-0.7731842857142854,12.033067142857144,-6.128455714285714
B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,favorite_size_abs,3-7,119,9.932329411764705,-0.7358134453781509,12.239356302521008,-4.396179831932773
B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,favorite_size_abs,7-10,49,12.224908163265308,0.8105612244897958,11.267732653061225,-6.562936734693877
B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,favorite_size_abs,10-14,24,12.041175,7.127824999999999,11.760775,-6.382766666666666
B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,favorite_size_abs,14+,10,8.684539999999998,7.26074,7.91906,-6.720260000000001
B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,model_market_disagreement,<2,110,9.642307272727273,-0.28430909090909057,11.87727090909091,-4.927227272727273
B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,model_market_disagreement,2-4,83,10.30782048192771,0.42883493975903647,11.6691,-7.854731325301206
B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,model_market_disagreement,4-6,53,10.046771698113206,0.9317415094339622,11.631398113207545,-2.7704698113207544
B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,model_market_disagreement,6-8,15,10.805333333333332,9.266413333333333,9.120133333333333,-2.3583733333333345
B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,model_market_disagreement,8+,11,17.4656,-4.635436363636363,16.73318181818182,-10.723818181818181
B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,market_total,<42,68,11.131185294117648,1.752317647058823,11.98410882352941,-6.696926470588236
B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,market_total,42-45,81,10.026017283950617,0.4298716049382718,12.52260987654321,-6.109106172839507
B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,market_total,45-48,60,9.213478333333331,0.4341149999999994,12.038308333333333,-6.223391666666667
B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,market_total,48+,63,10.810265079365081,-0.6081920634920631,10.48915714285714,-2.7060015873015875
B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,home_away,home_oriented_prediction,272,10.304718382352942,0.5209852941176469,11.810169852941176,-5.493052205882353
B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,realized_blowout,abs_margin_ge_14,96,18.98841979166667,3.071611458333333,11.367469791666666,-5.748084375
B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,realized_blowout,abs_margin_ge_21,49,22.736581632653067,6.221328571428572,11.171867346938777,-5.180369387755102
B0-POSSESSION-DRIVE-SCORE-PROCESS-V1,realized_blowout,abs_margin_ge_28,20,26.6704,10.401860000000001,10.897470000000002,-3.2419800000000008
C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,season,2025,272,9.746999225356452,0.6406052440051543,10.37552213841023,1.0740913944466308
C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,season_segment,weeks_1_4,64,8.83374624445902,3.5709027806276517,11.401983987121488,1.3139669690188835
C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,season_segment,weeks_5_9,71,10.8461261555445,-0.3381355001364289,9.673472927913648,1.3595825914642163
C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,season_segment,weeks_10_14,73,9.42683557720993,-0.310995882668278,9.73272695666419,0.2048392487614293
C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,season_segment,weeks_15_plus,64,9.80609492924365,-0.1184817444733901,10.861084386772685,1.5089897518551771
C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,favorite_size_abs,0-3,70,9.279626378851027,0.03406910825458668,10.85643867887506,0.379175553306682
C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,favorite_size_abs,3-7,119,9.257176140484843,-0.032454192911605555,10.93001912279079,1.877271436823558
C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,favorite_size_abs,7-10,49,12.089541532582961,0.6163879349432835,9.622843802140302,0.08895585868463296
C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,favorite_size_abs,10-14,24,10.064594292128417,5.808921547996356,9.609004918186061,1.4528817016989322
C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,favorite_size_abs,14+,10,6.606818395204009,0.6104711783928547,5.938357417288349,0.2987271659691018
C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,model_market_disagreement,<2,272,9.746999225356452,0.6406052440051543,10.37552213841023,1.0740913944466308
C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,market_total,<42,68,10.521412946227697,1.4095876182266598,9.677996685893145,1.5855354405306878
C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,market_total,42-45,81,9.282479619380146,0.7144396763605106,11.061504835753395,0.7190017960995165
C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,market_total,45-48,60,9.286618436189313,0.6993161095966111,10.543636590065793,-0.682513863547777
C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,market_total,48+,63,9.946821485909867,-0.3402525719207768,10.086319998521837,2.65155770892385
C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,home_away,home_oriented_prediction,272,9.746999225356452,0.6406052440051543,10.37552213841023,1.0740913944466308
C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,realized_blowout,abs_margin_ge_14,96,17.14106234931967,2.8890278417925788,10.083701737373326,1.0473417175553046
C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,realized_blowout,abs_margin_ge_21,49,20.04038349985702,5.741172453449603,10.002528204748897,1.7364193823331628
C0-MARKET-RESIDUAL-MARGIN-TOTAL-V1,realized_blowout,abs_margin_ge_28,20,23.94472357897387,10.035660613531544,9.984304504991053,4.082233160414146
