game_id,away_team,home_team,kickoff_timestamp_utc,horizon,role,target_timestamp_utc,phase2_eligible,state,capture_tolerance_minutes,minimum_complete_books,completed_2026_outcomes_used
2026_03_ARI_SF,ARI,SF,2026-09-27T20:05:00+00:00,T-60m,diagnostic_only,2026-09-27T19:05:00+00:00,True,future,7.5,2,0
2026_03_MIN_TB,MIN,TB,2026-09-27T20:05:00+00:00,T-60m,diagnostic_only,2026-09-27T19:05:00+00:00,True,future,7.5,2,0
2026_03_BAL_DAL,BAL,DAL,2026-09-27T20:25:00+00:00,T-60m,diagnostic_only,2026-09-27T19:25:00+00:00,True,future,7.5,2,0
2026_03_LV_NO,LV,NO,2026-09-27T20:25:00+00:00,T-60m,diagnostic_only,2026-09-27T19:25:00+00:00,True,future,7.5,2,0
2026_03_ARI_SF,ARI,SF,2026-09-27T20:05:00+00:00,T-30m,diagnostic_only,2026-09-27T19:35:00+00:00,True,future,7.5,2,0
2026_03_MIN_TB,MIN,TB,2026-09-27T20:05:00+00:00,T-30m,diagnostic_only,2026-09-27T19:35:00+00:00,True,future,7.5,2,0
2026_03_BAL_DAL,BAL,DAL,2026-09-27T20:25:00+00:00,T-30m,diagnostic_only,2026-09-27T19:55:00+00:00,True,future,7.5,2,0
2026_03_LV_NO,LV,NO,2026-09-27T20:25:00+00:00,T-30m,diagnostic_only,2026-09-27T19:55:00+00:00,True,future,7.5,2,0
2026_03_ARI_SF,ARI,SF,2026-09-27T20:05:00+00:00,LATEST_PREKICK,diagnostic_only,2026-09-27T20:05:00+00:00,True,future,,2,0
2026_03_MIN_TB,MIN,TB,2026-09-27T20:05:00+00:00,LATEST_PREKICK,diagnostic_only,2026-09-27T20:05:00+00:00,True,future,,2,0
2026_03_BAL_DAL,BAL,DAL,2026-09-27T20:25:00+00:00,LATEST_PREKICK,diagnostic_only,2026-09-27T20:25:00+00:00,True,future,,2,0
2026_03_LV_NO,LV,NO,2026-09-27T20:25:00+00:00,LATEST_PREKICK,diagnostic_only,2026-09-27T20:25:00+00:00,True,future,,2,0
2026_03_LA_DEN,LA,DEN,2026-09-28T00:20:00+00:00,T-120m,predictor,2026-09-27T22:20:00+00:00,True,future,7.5,2,0
2026_03_LA_DEN,LA,DEN,2026-09-28T00:20:00+00:00,T-60m,diagnostic_only,2026-09-27T23:20:00+00:00,True,future,7.5,2,0
2026_03_LA_DEN,LA,DEN,2026-09-28T00:20:00+00:00,T-30m,diagnostic_only,2026-09-27T23:50:00+00:00,True,future,7.5,2,0
2026_03_LA_DEN,LA,DEN,2026-09-28T00:20:00+00:00,LATEST_PREKICK,diagnostic_only,2026-09-28T00:20:00+00:00,True,future,,2,0
2026_03_PHI_CHI,PHI,CHI,2026-09-29T00:15:00+00:00,T-720m,predictor,2026-09-28T12:15:00+00:00,True,future,7.5,2,0
2026_03_PHI_CHI,PHI,CHI,2026-09-29T00:15:00+00:00,T-360m,predictor,2026-09-28T18:15:00+00:00,True,future,7.5,2,0
2026_03_PHI_CHI,PHI,CHI,2026-09-29T00:15:00+00:00,T-120m,predictor,2026-09-28T22:15:00+00:00,True,future,7.5,2,0
2026_03_PHI_CHI,PHI,CHI,2026-09-29T00:15:00+00:00,T-60m,diagnostic_only,2026-09-28T23:15:00+00:00,True,future,7.5,2,0
2026_03_PHI_CHI,PHI,CHI,2026-09-29T00:15:00+00:00,T-30m,diagnostic_only,2026-09-28T23:45:00+00:00,True,future,7.5,2,0
2026_03_PHI_CHI,PHI,CHI,2026-09-29T00:15:00+00:00,LATEST_PREKICK,diagnostic_only,2026-09-29T00:15:00+00:00,True,future,,2,0
